CATEGORIA;NOMBRE;REFERENCIA;UNIDAD;GENERACION;VALOR
INSUMOS;A1CGENT3 150 TESTS COBAS C 501  COD: 5336163190;1385;ML;1;1687.5
INSUMOS;ACEITE DE INMERSION 100 ML (QUIMICAL);3044;ML;2;18.5
INSUMOS;ADAPTADORES - BOQUILLAS PARA EL ANALIZADOR DE ALIENTO LACTOFAN2;2554;;;11.67
INSUMOS;ADENOVIRUS AG RAPID TEST (20) LAB.  -  R0189C;4525;;;5.55
INSUMOS;ADENOVIRUS RESPIRATORIO CASSETTE X 20 TEST;3952;;;5.55
INSUMOS;ADENOVIRUS TEST HECES CASSETTE;2317;;;3.33
MEDICAMENTOS;AGUA PARA INYECCIÓN LIQUIDO PARENTERAL 10ML  .;621;;;0.47
INSUMOS;AGUJAS TOMA MULTIPLE 21X1X100 U LAB. REF: MDC-CY11621-A;4716;;;13
INSUMOS;ALB BCGENT2 300 TESTS COBAS COD: 3183688122;1386;;;125
INSUMOS;ALB-T TO GEN2. 100 TESTS, COBAS C. INT.  LAB.  -  4469658190;2302;;;866.67
INSUMOS;ALCOHOL ETILICO RECTIFICADO EXTRANEUTRO (GALON);3494;;;25.83
INSUMOS;ALCOHOL PREP PAD;8;;;0.09
INSUMOS;ALP IFCC GEN 2 S, 200T, COBAS C. INT.  (LAB.)  - 3333752190 -;1000;;;116.67
INSUMOS;ALTL, 500 TESTS, COBAS C, INTEGRA. (LAB.)  - 20764957322 -;1054;;;208.33
INSUMOS;AMYL GEN2 300TESTS COBAS C INTEGRAL (LAB.)  -  3183742122 -;1407;;;660.02
INSUMOS;ANTI A  MONOCLONAL 10 ML  -  LAB.   -  CAR002;348;;;9.58
INSUMOS;ANTI B MONOCLONAL 10 ML  -  LAB.   -  CAR003;349;;;9.58
INSUMOS;ANTI B MONOCLONAL 10ML LAB.;1354;;;4.27
INSUMOS;ANTI D MONOCLONAL (IGM - IGG) 10 ML  -  LAB.   -  CAR004;350;;;14.33
INSUMOS;APTT-XL (TTP) X 10 ML PACIFIC HEMOSTASIS - THERMO SCIENTIFIC  - LAB.  -  PH100403;2770;;;183.33
INSUMOS;ASTL, 500 TESTS, COBAS C, INTEGRA (LAB.)  - 20764949322 -;1055;;;208.33
INSUMOS;BARCODE LABEL 2.7X5.7CM LAB    -    5870020001;3515;;;0.14
INSUMOS;BATA MANGA LARGA, NO ESTERIL, PARA USO DE PERSONAL, DESCARTABLE;1293;;;1.52
INSUMOS;BILD GEN2 350TESTS COBAS C INTEGRA  (LAB.)  5589061190;1643;;;175
INSUMOS;BILT GEN 3 250 TEST COBAS C INTEGRA. LAB. - COD: 5795397190;1518;;;125
INSUMOS;BRUCELLA ABORTUS FRASCO X 5 ML;3960;;;13.33
INSUMOS;CA 19-9 ELECSYS COBAS E 100 - LAB.  -  11776193122;1953;;;1000
INSUMOS;CA GEN. 2  300TESTS, COBAS C. INTEGRA.  LAB.  -  5061482190;1753;;;125
INSUMOS;CAJA AGAR CLED MONOPETRI, (LAB.)  COD. AGAR7006;1021;;;3.1
INSUMOS;CAJA AGAR MACCONKEY MONOPETRI AUTO. LAB.  -  AGAR7218;4543;;;3.12
INSUMOS;CAJA AGAR MACCONKEY MONOPETRI, (LAB.)  COD: AGAR7015;1022;;;3.12
INSUMOS;CAJA AGAR NICKERSON MONOPETRI. LAB.  - AGAR7026;1140;;;3.12
INSUMOS;CAJA AGAR SANGRE MONOPETRI LAB.  COD: AGAR7039;1138;;;3
INSUMOS;CALIBRATOR FAS 12X3 ML LAB    -   10759350190;3512;;;0.14
INSUMOS;"CAMPANA PARA EXTRACCION DE SANGRE ""PUTH"" - LAB.";397;;;0.7
INSUMOS;CELL WASH SOLUTION I/NAOH-D 2X1.8L  LAB.  -  4880285190;2974;;;0.14
INSUMOS;CELLPACK DCL 20L. R: 6510167001;431;;;1041.67
INSUMOS;CHE GEN. 2, -  200 TESTS, COBA C INTEGRAV. LAB.  -  4498577190;2577;;;666.67
INSUMOS;CHOL HICO GEN 2, 400TESTS, COBAS C. INT.   COD: 3039773190  (LAB.);1001;;;166.67
MEDICAMENTOS;CLORURO DE SODIO LIQUIDO PARENTERAL 0,9 % - 1000 ML  .;23;;;2.38
INSUMOS;COAGULATION 4 TEST PANEL PK20;3394;;;156.33
INSUMOS;COVID-19 AG CASSETE [20] ;3075;;;3.08
INSUMOS;CREAJ GEN2 700 TESTS COBAS C INTEGRA.  (LAB.)  -  4810716190;1645;;;291.67
INSUMOS;CRP GEN4 250 TESTS COBAS C501 IN.  LAB.  - 7876033190;4582;;;6.67
INSUMOS;CRP LX HS. 300TEST, COBAS C. INTEGRA. R: 4628918190;1211;;;2000
INSUMOS;CUBRE OBJETO 22 X 22MM. LAB.  - VIR-001;789;;;0.03
INSUMOS;CURITAS REDONDAS;45;;;0.03
INSUMOS;CURITAS REDONDAS NIÑOS;1871;;;0.02
INSUMOS;CYSTATIN C TO GEN2, 225T. COBAS C INT.  LAB.   -   6600239190;3216;;;3750
INSUMOS;DENGUE AG CASS X 30. COD. R0063C;1230;;;3.77
INSUMOS;DENGUE IGG/GM WB/S/P EN CASSETTE DE 25 ACROBIOTECH. LAB  -  ACR-006;393;;;2.11
INSUMOS;DRY CHEMISTRY URINE ANALYSIS CONTROL - NO.I      LAB.  -   NO.I;3522;;;0.14
